Player,Nation,Pos,is_gk,is_df,is_mf,is_fw,Season,Squad,Age,Starts,Min,90s,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Freddie Woodman,ENG,GK,1,0,0,0,2021-2022,Newcastle Utd,24,4,360,4.0,0.0,0.0,0.0,32.0,28.5,32.0,0.0,0.0,0.0,32.0,0.0,0.0,,0.0,,16.25,104.25,49.5,0.0,0.0,0.0,0.0,0.0,12.0,0.0
Granit Xhaka,SUI,"MF,DF",0,1,1,0,2021-2022,Arsenal,28,27,2327,25.9,0.05,0.09,0.14,68.96,2.36,12.01,39.69,17.8,1.39,68.96,1.0,0.73,2.82,0.27,1.04,39.77,183.24,91.66,1.51,1.12,0.15,0.89,0.89,50.08,2.59
Andriy Yarmolenko,UKR,"FW,MF",0,0,1,1,2021-2022,West Ham,31,1,316,3.5,0.22,0.08,0.3,42.0,1.71,6.57,13.71,21.71,5.43,42.0,2.29,0.86,10.71,1.43,17.86,26.29,151.14,77.43,3.43,0.86,2.29,1.14,0.29,33.43,8.0
Ashley Young,ENG,"DF,FW",0,1,0,1,2021-2022,Aston Villa,36,10,1250,13.9,0.03,0.07,0.1,54.39,2.66,14.89,25.11,15.4,1.01,54.39,1.15,0.65,4.05,0.5,3.15,30.79,151.44,77.7,1.94,1.15,0.5,0.79,0.22,33.88,4.1
Nathan Young-Coombes,ENG,MF,0,0,1,0,2021-2022,Brentford,18,0,4,0.0,0.0,0.0,0.0,inf,,,,inf,,inf,,,,,,inf,,,,,,inf,,inf,
Wilfried Zaha,CIV,FW,0,0,0,1,2021-2022,Crystal Palace,28,31,2760,30.7,0.31,0.17,0.48,47.0,0.36,5.05,19.35,23.45,4.2,46.78,4.95,2.44,1.61,2.51,1.65,34.46,220.46,103.55,3.68,2.44,1.53,4.04,3.58,36.74,8.63
Christoph Zimmermann,GER,DF,0,1,0,0,2021-2022,Norwich City,28,2,157,1.7,0.03,0.0,0.03,45.29,5.88,22.94,20.59,1.76,0.59,45.29,0.59,0.59,58.82,0.0,0.0,27.65,197.65,97.06,0.59,0.0,0.0,0.0,0.0,27.06,0.0
Oleksandr Zinchenko,UKR,DF,0,1,0,0,2021-2022,Manchester City,24,10,1047,11.6,0.04,0.23,0.27,100.78,2.07,16.29,53.62,31.38,1.81,100.78,1.03,0.6,5.03,0.43,3.59,62.07,272.67,158.97,2.76,3.1,0.17,0.86,0.52,75.78,7.59
Hakim Ziyech,MAR,"MF,FW",0,0,1,1,2021-2022,Chelsea,28,14,1319,14.7,0.23,0.2,0.43,65.85,0.61,5.44,23.47,37.62,3.54,65.85,4.42,1.9,2.93,2.52,3.87,43.95,220.27,99.52,3.4,2.11,1.36,3.06,1.63,48.1,9.66
Kurt Zouma,FRA,DF,0,1,0,0,2021-2022,West Ham,26,24,2078,23.1,0.05,0.0,0.05,53.98,10.61,30.39,22.51,1.47,0.65,53.98,0.13,0.04,1.44,0.09,2.89,30.82,141.56,76.49,0.48,0.26,0.0,0.26,0.0,33.51,0.09
Martin Ødegaard,NOR,"MF,FW",0,0,1,1,2021-2022,Arsenal,22,32,2785,30.9,0.15,0.2,0.36,60.42,0.52,6.38,28.67,25.76,1.91,60.42,1.49,0.81,1.76,0.68,1.48,36.67,185.76,79.61,1.84,1.88,0.32,1.26,1.55,44.5,4.72
Patrick van Aanholt,NED,DF,0,1,0,0,2020-2021,Crystal Palace,29,20,1777,19.7,0.07,0.04,0.11,68.68,3.1,21.32,31.07,16.7,1.88,68.68,1.12,0.51,2.31,0.61,2.77,36.95,172.89,82.34,1.93,1.47,0.46,1.22,0.3,40.61,4.42
Tammy Abraham,ENG,FW,0,0,0,1,2020-2021,Chelsea,22,12,1040,11.6,0.51,0.06,0.57,30.86,1.72,3.02,14.74,13.28,5.26,30.86,1.55,0.52,2.87,1.03,5.75,13.28,59.83,22.93,1.03,0.43,0.69,2.84,0.6,20.6,5.69
Che Adams,SCO,FW,0,0,0,1,2020-2021,Southampton,24,30,2667,29.6,0.33,0.17,0.5,31.28,0.81,3.31,13.61,14.83,3.28,31.28,1.69,0.95,1.89,0.74,1.49,17.43,78.92,30.41,1.08,0.95,0.44,2.97,1.49,24.09,5.03
Tosin Adarabioyo,ENG,DF,0,1,0,0,2020-2021,Fulham,22,33,2953,32.8,0.03,0.01,0.04,69.27,12.13,39.94,27.44,2.04,1.07,69.27,0.43,0.34,2.4,0.09,0.65,40.76,178.17,95.49,0.15,0.15,0.0,0.37,0.15,46.4,0.09
Adrián,ESP,GK,1,0,0,0,2020-2021,Liverpool,33,3,270,3.0,0.0,0.0,0.0,36.67,33.0,36.67,0.0,0.0,0.0,36.67,0.0,0.0,,0.0,,17.33,86.33,26.33,0.0,0.0,0.0,0.0,0.0,15.67,0.0
Sergio Agüero,ARG,FW,0,0,0,1,2020-2021,Manchester City,32,7,559,6.2,0.56,0.19,0.75,37.74,0.0,0.81,15.97,21.13,7.26,37.42,2.1,1.29,9.92,0.81,6.21,25.0,124.03,53.23,1.94,1.61,0.48,2.42,1.77,30.81,6.29
Ola Aina,NGA,DF,0,1,0,0,2020-2021,Fulham,23,31,2664,29.6,0.04,0.05,0.09,69.32,3.55,26.39,32.33,11.15,0.57,69.32,1.11,0.71,2.15,0.41,1.23,36.15,189.02,102.16,2.13,1.35,0.17,0.91,0.34,42.36,1.69
Rayan Aït-Nouri,ALG,DF,0,1,0,0,2020-2021,Wolves,19,16,1404,15.6,0.04,0.04,0.08,63.85,2.69,17.12,27.56,19.81,1.67,63.85,3.46,1.67,3.08,1.79,3.33,36.73,189.68,109.1,3.01,2.18,0.58,1.92,1.22,39.87,5.45
Semi Ajayi,NGA,DF,0,1,0,0,2020-2021,West Brom,26,31,2780,30.9,0.06,0.02,0.08,42.88,7.22,22.36,18.09,2.78,1.39,42.88,0.58,0.32,1.8,0.26,1.44,17.35,100.26,49.74,0.42,0.32,0.06,0.78,0.16,21.1,0.23
Nathan Aké,NED,DF,0,1,0,0,2020-2021,Manchester City,25,9,797,8.9,0.03,0.0,0.03,92.02,4.49,20.45,64.04,7.53,0.67,92.02,0.11,0.0,0.0,0.11,11.24,63.93,308.76,188.54,1.35,2.47,0.0,0.22,0.11,73.93,0.67
Marc Albrighton,ENG,"DF,FW",0,1,0,1,2020-2021,Leicester City,30,17,1746,19.4,0.06,0.18,0.24,59.95,1.91,12.68,23.81,24.54,1.91,59.95,3.4,1.91,2.89,1.49,2.26,31.7,180.1,81.24,2.37,1.7,0.36,1.7,1.49,37.37,7.16
Thiago Alcántara,ESP,MF,0,0,1,0,2020-2021,Liverpool,29,20,1854,20.6,0.06,0.11,0.17,94.47,1.5,14.37,59.51,21.26,0.78,94.47,2.33,1.6,3.34,0.73,1.52,60.78,284.51,142.23,1.31,2.82,0.19,1.12,0.87,71.6,1.21
Toby Alderweireld,BEL,DF,0,1,0,0,2020-2021,Tottenham,31,25,2240,24.9,0.03,0.03,0.06,67.75,10.72,37.43,29.16,1.41,0.56,67.75,0.16,0.16,4.02,0.0,0.0,39.64,180.12,95.18,0.12,0.2,0.0,0.08,0.08,44.74,0.04
Rúnar Alex Rúnarsson,ISL,GK,1,0,0,0,2020-2021,Arsenal,25,0,16,0.2,0.0,0.0,0.0,65.0,50.0,60.0,5.0,0.0,0.0,65.0,0.0,0.0,,0.0,,25.0,130.0,60.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
Trent Alexander-Arnold,ENG,DF,0,1,0,0,2020-2021,Liverpool,21,34,3031,33.7,0.08,0.26,0.33,98.46,2.17,20.74,44.33,34.15,2.4,98.46,1.81,0.95,1.56,0.86,1.41,59.11,280.77,161.48,2.91,2.82,0.71,0.92,0.65,65.34,7.39
Ezgjan Alioski,MKD,"DF,MF",0,1,1,0,2020-2021,Leeds United,28,29,2461,27.3,0.06,0.12,0.18,71.47,2.75,20.51,33.04,18.42,1.5,71.47,0.95,0.4,1.55,0.55,2.11,36.89,201.76,120.51,2.82,1.58,0.18,1.36,0.55,43.85,4.47
Alisson,BRA,GK,1,0,0,0,2020-2021,Liverpool,27,33,2970,33.0,0.0,0.0,0.0,37.55,28.21,37.09,0.48,0.03,0.03,37.55,0.06,0.06,3.03,0.0,0.0,21.48,85.06,53.42,0.0,0.0,0.0,0.0,0.0,20.27,0.0
Allan,BRA,MF,0,0,1,0,2020-2021,Everton,29,23,2051,22.8,0.01,0.03,0.05,57.46,2.98,16.75,35.79,5.96,0.13,57.46,2.15,1.36,2.78,0.79,1.61,31.62,185.09,101.49,1.32,1.36,0.09,0.92,0.79,36.45,0.35
Dele Alli,ENG,MF,0,0,1,0,2020-2021,Tottenham,24,7,620,6.9,0.3,0.18,0.47,64.35,1.01,9.28,34.93,21.16,3.33,64.35,3.62,1.59,6.38,2.03,8.12,40.0,230.14,92.9,2.17,2.61,0.72,1.88,2.32,43.91,4.35
Miguel Almirón,PAR,"MF,FW",0,0,1,1,2020-2021,Newcastle Utd,26,28,2429,27.0,0.12,0.11,0.23,43.67,1.22,8.52,20.63,15.59,1.48,43.67,2.7,1.44,1.98,1.26,1.73,28.63,204.3,93.19,2.59,1.78,0.52,1.78,1.26,29.33,4.04
Marcos Alonso,ESP,DF,0,1,0,0,2020-2021,Chelsea,29,11,960,10.7,0.17,0.13,0.3,68.13,2.99,18.6,28.04,22.24,3.55,68.13,1.59,0.84,4.94,0.75,4.4,33.83,169.63,102.34,2.24,1.68,0.37,1.21,0.84,42.06,6.92
Steven Alzate,COL,MF,0,0,1,0,2020-2021,Brighton,21,10,896,10.0,0.08,0.06,0.14,53.6,1.7,10.5,30.8,12.8,1.2,53.6,1.6,0.8,5.0,0.8,5.0,32.3,163.8,80.7,1.6,0.8,0.1,1.3,0.9,39.3,1.6
Daniel Amartey,GHA,DF,0,1,0,0,2020-2021,Leicester City,25,8,722,8.0,0.05,0.0,0.05,71.5,7.62,35.75,32.0,4.12,0.75,71.5,0.38,0.12,4.16,0.25,8.34,37.62,161.38,85.25,0.5,0.5,0.0,0.62,0.38,43.0,0.0
Ethan Ampadu,WAL,"DF,MF",0,1,1,0,2020-2021,Sheffield Utd,19,23,2089,23.2,0.01,0.05,0.07,59.22,5.95,22.24,28.88,8.71,0.26,59.22,0.65,0.56,3.74,0.09,0.57,29.22,175.13,102.76,1.08,1.21,0.0,0.69,0.22,32.97,0.99
Joachim Andersen,DEN,DF,0,1,0,0,2020-2021,Fulham,24,30,2730,30.3,0.04,0.01,0.05,75.08,10.2,41.55,31.16,2.97,0.83,75.08,0.36,0.3,2.7,0.07,0.6,43.04,242.41,133.43,0.66,0.43,0.03,0.33,0.1,48.05,0.23
Elliot Anderson,ENG,MF,0,0,1,0,2020-2021,Newcastle Utd,17,0,4,0.0,0.0,0.0,0.0,inf,,,inf,inf,inf,inf,,,,,,inf,inf,,,,,,,inf,inf
Felipe Anderson,BRA,"FW,MF",0,0,1,1,2020-2021,West Ham,27,0,3,0.0,0.0,0.0,0.0,inf,,,inf,inf,inf,inf,,,,,,inf,inf,inf,inf,inf,,,,inf,
Michail Antonio,JAM,FW,0,0,0,1,2020-2021,West Ham,30,24,1974,21.9,0.59,0.14,0.73,35.75,0.5,1.55,13.65,21.0,5.48,35.75,3.97,1.96,2.26,2.01,2.31,21.6,128.63,62.33,2.69,1.42,1.14,3.56,2.24,29.13,8.08
Alphonse Areola,FRA,GK,1,0,0,0,2020-2021,Fulham,27,36,3240,36.0,0.0,0.0,0.0,30.58,27.0,30.44,0.14,0.0,0.0,30.58,0.0,0.0,,0.0,,15.94,82.83,44.44,0.0,0.0,0.0,0.03,0.0,11.5,0.0
Stuart Armstrong,SCO,MF,0,0,1,0,2020-2021,Southampton,28,32,2764,30.7,0.09,0.08,0.17,54.36,1.24,7.62,30.81,16.68,1.73,54.36,3.45,2.21,2.09,1.24,1.17,32.08,229.09,114.69,3.55,2.44,0.33,2.51,2.21,36.87,3.84
Kepa Arrizabalaga,ESP,GK,1,0,0,0,2020-2021,Chelsea,25,6,585,6.5,0.0,0.0,0.0,39.69,35.85,39.23,0.46,0.0,0.0,39.69,0.0,0.0,,0.0,,22.31,93.08,58.31,0.0,0.0,0.0,0.31,0.0,22.92,0.0
Pierre-Emerick Aubameyang,GAB,FW,0,0,0,1,2020-2021,Arsenal,31,26,2332,25.9,0.39,0.09,0.48,34.25,0.73,4.36,13.32,16.87,4.59,34.17,0.97,0.46,1.85,0.5,2.01,20.27,120.62,65.33,2.51,1.12,1.08,1.51,0.73,27.14,7.53
Serge Aurier,CIV,DF,0,1,0,0,2020-2021,Tottenham,27,19,1605,17.8,0.06,0.19,0.25,68.6,4.38,23.37,31.18,14.83,1.4,68.6,1.8,0.96,2.98,0.84,2.63,31.35,122.53,63.43,1.57,0.9,0.28,1.63,0.73,38.09,4.61
Charlie Austin,ENG,"FW,MF",0,0,1,1,2020-2021,West Brom,31,0,138,1.5,0.29,0.0,0.29,36.67,2.67,5.33,14.67,17.33,2.67,36.67,1.33,0.67,33.33,0.67,33.33,14.67,67.33,34.0,0.67,1.33,0.67,2.67,1.33,24.0,2.67
Jordan Ayew,GHA,"FW,MF",0,0,1,1,2020-2021,Crystal Palace,28,23,2096,23.3,0.09,0.03,0.13,41.76,0.73,5.88,20.43,16.35,2.45,41.76,3.82,2.23,2.51,1.59,1.79,25.11,171.16,75.62,2.49,1.37,0.6,3.52,2.58,30.52,4.68
Luke Ayling,ENG,DF,0,1,0,0,2020-2021,Leeds United,28,38,3399,37.8,0.05,0.08,0.13,85.16,6.24,35.66,37.04,13.17,1.8,85.16,1.56,1.08,1.84,0.48,0.81,48.1,310.16,195.29,2.91,1.03,0.16,1.46,0.56,53.7,2.91
César Azpilicueta,ESP,DF,0,1,0,0,2020-2021,Chelsea,30,24,2188,24.3,0.03,0.1,0.13,94.73,4.65,33.46,43.46,18.4,1.56,94.73,0.58,0.25,1.77,0.33,2.35,47.49,210.62,122.84,1.52,1.44,0.08,0.7,0.25,65.97,3.42
Eric Bailly,CIV,DF,0,1,0,0,2020-2021,Manchester Utd,26,10,916,10.2,0.01,0.0,0.01,63.92,9.02,33.24,29.8,1.37,0.39,63.92,0.39,0.39,9.8,0.0,0.0,42.06,243.14,130.49,0.59,0.49,0.0,0.69,0.0,41.57,0.0
Fabián Balbuena,PAR,DF,0,1,0,0,2020-2021,West Ham,28,13,1198,13.3,0.05,0.0,0.05,47.52,6.99,24.14,22.11,1.73,0.75,47.52,0.15,0.08,3.76,0.08,3.76,21.5,94.96,45.86,0.23,0.08,0.0,0.23,0.0,25.11,0.15
George Baldock,GRE,DF,0,1,0,0,2020-2021,Sheffield Utd,27,32,2787,31.0,0.04,0.09,0.13,46.55,3.06,12.55,16.19,18.35,1.45,46.55,1.06,0.55,1.66,0.52,1.56,21.16,133.23,63.52,2.19,1.52,0.29,1.06,0.65,24.9,4.52
Gareth Bale,WAL,FW,0,0,0,1,2020-2021,Tottenham,31,10,920,10.2,0.57,0.18,0.74,55.29,1.86,7.75,24.61,23.73,4.02,55.29,4.8,2.65,5.4,2.16,4.4,30.98,229.9,98.14,3.04,2.06,1.18,1.67,0.69,38.33,8.33
Patrick Bamford,ENG,FW,0,0,0,1,2020-2021,Leeds United,26,37,3050,33.9,0.54,0.1,0.64,25.07,1.39,2.42,11.33,11.62,4.81,25.01,1.18,0.56,1.4,0.62,1.55,11.45,53.13,20.65,0.94,0.47,0.59,2.39,0.62,16.4,4.93
Phil Bardsley,SCO,DF,0,1,0,0,2020-2021,Burnley,35,3,274,3.0,0.03,0.0,0.03,65.33,4.0,19.33,34.0,12.67,0.33,65.33,1.33,1.0,25.0,0.33,8.33,24.0,111.67,61.0,1.33,2.0,0.0,0.33,0.33,30.67,2.0
Ross Barkley,ENG,MF,0,0,1,0,2020-2021,Aston Villa,26,18,1531,17.0,0.18,0.24,0.43,55.59,1.06,6.71,24.47,25.18,3.12,55.59,2.53,1.71,3.96,0.65,1.51,29.82,166.71,82.24,2.35,1.53,0.71,2.24,1.88,38.53,4.29
Ross Barkley,ENG,"FW,MF",0,0,1,1,2020-2021,Chelsea,26,0,42,0.5,0.05,0.19,0.24,64.0,2.0,14.0,36.0,16.0,0.0,64.0,2.0,2.0,200.0,0.0,0.0,36.0,264.0,138.0,4.0,4.0,0.0,4.0,2.0,52.0,2.0
Ashley Barnes,ENG,FW,0,0,0,1,2020-2021,Burnley,30,15,1331,14.8,0.27,0.05,0.33,33.04,0.74,2.77,14.05,16.28,4.46,32.97,0.14,0.07,3.38,0.07,3.38,16.89,54.93,22.43,0.54,0.61,0.27,2.97,1.42,25.54,5.34
Harvey Barnes,ENG,"FW,MF",0,0,1,1,2020-2021,Leicester City,22,22,1945,21.6,0.27,0.07,0.35,42.31,0.6,5.05,15.93,22.31,4.44,42.31,4.12,1.85,2.08,2.27,2.55,27.36,211.85,119.26,4.86,3.66,1.53,2.69,1.44,32.69,7.55
Kyle Bartley,ENG,DF,0,1,0,0,2020-2021,West Brom,29,28,2584,28.7,0.09,0.05,0.14,40.84,9.27,24.81,13.69,2.54,1.39,40.84,0.14,0.14,3.48,0.0,0.0,15.33,73.62,29.93,0.07,0.1,0.0,0.31,0.07,17.67,0.1
Chris Basham,ENG,"DF,MF",0,1,1,0,2020-2021,Sheffield Utd,32,31,2576,28.6,0.03,0.03,0.06,53.08,5.87,20.07,23.25,10.31,1.43,53.08,1.05,0.73,2.45,0.31,1.05,24.72,142.45,89.72,1.33,1.12,0.07,1.05,0.66,27.69,1.68
Michy Batshuayi,BEL,FW,0,0,0,1,2020-2021,Crystal Palace,26,7,728,8.1,0.19,0.2,0.4,31.48,0.74,2.84,16.3,12.84,3.09,31.48,2.1,1.36,7.99,0.74,4.36,18.02,108.02,63.83,1.98,1.23,0.86,3.21,2.72,24.32,5.43
Jan Bednarek,POL,DF,0,1,0,0,2020-2021,Southampton,24,36,3100,34.4,0.02,0.02,0.04,72.09,8.02,37.12,33.6,1.66,0.47,72.09,0.17,0.15,2.42,0.03,0.49,39.45,181.4,94.45,0.38,0.23,0.0,0.32,0.15,44.07,0.09
Donny van de Beek,NED,"MF,FW",0,0,1,1,2020-2021,Manchester Utd,23,4,524,5.8,0.06,0.16,0.22,59.48,2.07,10.0,31.72,18.28,4.14,59.48,1.9,1.38,12.53,0.52,4.71,31.55,109.83,46.9,1.21,1.03,0.0,1.9,1.38,41.9,6.72
Héctor Bellerín,ESP,"DF,MF",0,1,1,0,2020-2021,Arsenal,25,24,2089,23.2,0.03,0.1,0.14,65.82,2.37,16.98,28.36,20.78,2.03,65.82,1.08,0.52,2.07,0.56,2.24,34.91,162.8,93.79,1.98,1.38,0.39,1.03,0.22,41.42,6.12
Saïd Benrahma,ALG,"FW,MF",0,0,1,1,2020-2021,West Ham,24,14,1391,15.5,0.17,0.26,0.43,48.52,0.84,7.29,19.81,22.65,3.16,48.52,5.16,2.71,3.39,2.45,3.06,32.84,232.58,115.68,4.06,2.26,1.03,3.1,2.13,34.52,6.9
Josh Benson,ENG,MF,0,0,1,0,2020-2021,Burnley,20,2,264,2.9,0.07,0.0,0.07,37.93,1.03,5.52,20.34,12.41,0.69,37.93,2.41,0.69,9.86,1.72,24.62,17.93,69.66,40.0,0.34,0.69,0.0,1.38,1.38,24.83,2.76
Christian Benteke,BEL,FW,0,0,0,1,2020-2021,Crystal Palace,29,21,1816,20.2,0.41,0.04,0.45,41.44,2.62,4.06,20.35,17.33,5.84,41.44,1.34,0.79,2.94,0.54,2.01,17.38,74.21,22.97,0.69,0.5,0.45,2.92,1.34,32.72,6.14
Gaetano Berardi,SUI,DF,0,1,0,0,2020-2021,Leeds United,31,1,113,1.3,0.09,0.0,0.09,55.38,4.62,28.46,24.62,2.31,0.77,55.38,0.0,0.0,,0.0,,27.69,106.15,60.77,0.0,0.0,0.0,0.0,0.0,34.62,0.77
Jóhann Berg Guðmundsson,ISL,MF,0,0,1,0,2020-2021,Burnley,29,16,1363,15.1,0.08,0.03,0.11,40.53,1.79,6.36,17.68,16.82,1.92,40.53,1.79,0.66,2.45,1.13,4.17,23.71,137.28,52.85,1.66,0.99,0.13,1.13,0.79,27.42,4.9
Sander Berge,NOR,MF,0,0,1,0,2020-2021,Sheffield Utd,22,13,1120,12.4,0.1,0.09,0.19,47.58,2.5,8.79,23.79,16.05,2.5,47.5,2.58,1.61,5.04,0.97,3.02,29.27,228.31,112.66,3.15,2.42,0.81,1.94,1.05,31.45,2.66
Steven Bergwijn,NED,"FW,MF",0,0,1,1,2020-2021,Tottenham,22,13,1208,13.4,0.15,0.06,0.21,41.49,0.82,6.04,17.76,18.66,2.46,41.49,3.36,1.64,3.65,1.72,3.81,26.42,156.42,74.55,2.39,2.31,0.82,2.24,1.12,30.67,6.19
Bernard,BRA,"MF,FW",0,0,1,1,2020-2021,Everton,27,3,455,5.1,0.05,0.11,0.16,66.08,1.37,6.67,31.96,27.65,2.75,66.08,3.14,1.96,12.25,1.18,7.35,44.12,218.82,105.88,2.55,1.96,0.39,3.14,2.16,48.24,8.24
Bernardo,BRA,"DF,MF",0,1,1,0,2020-2021,Brighton,25,2,206,2.3,0.16,0.06,0.22,49.13,1.74,10.43,15.65,23.04,2.61,49.13,1.3,0.0,0.0,1.3,43.48,27.39,101.74,45.22,0.87,0.87,0.0,0.43,1.74,34.35,6.52
Ryan Bertrand,ENG,DF,0,1,0,0,2020-2021,Southampton,30,29,2598,28.9,0.01,0.04,0.06,62.39,2.01,14.78,30.93,17.02,1.45,62.39,0.31,0.1,1.15,0.21,2.31,28.62,140.69,81.8,1.59,1.42,0.21,0.87,0.28,35.64,4.15
Yves Bissouma,MLI,MF,0,0,1,0,2020-2021,Brighton,23,35,3111,34.6,0.04,0.03,0.07,60.87,2.86,14.45,36.76,10.72,0.32,60.87,2.11,1.53,2.1,0.58,0.79,35.0,212.02,94.48,1.59,1.3,0.06,0.95,0.84,39.42,0.75
Jayden Bogle,ENG,"DF,MF",0,1,1,0,2020-2021,Sheffield Utd,20,12,1110,12.3,0.16,0.02,0.17,46.18,2.11,12.52,13.98,20.33,2.68,46.18,2.52,0.89,2.89,1.63,5.24,21.71,96.1,39.19,0.89,0.57,0.41,1.63,1.38,23.66,4.96
Willy Boly,CIV,DF,0,1,0,0,2020-2021,Wolves,29,21,1879,20.9,0.05,0.01,0.06,59.47,6.03,28.66,28.85,2.25,1.1,59.47,0.19,0.19,4.78,0.0,0.0,32.87,131.2,61.44,0.24,0.38,0.1,0.48,0.14,39.52,0.05
Jarrod Bowen,ENG,"FW,MF",0,0,1,1,2020-2021,West Ham,23,30,2562,28.5,0.25,0.17,0.42,36.42,0.42,4.98,13.72,18.53,3.61,36.42,2.35,1.26,1.88,1.09,1.62,21.44,178.25,66.0,2.91,1.54,1.4,2.21,1.75,24.28,5.79
Robbie Brady,IRL,MF,0,0,1,0,2020-2021,Burnley,28,12,1052,11.7,0.07,0.08,0.15,45.9,3.68,10.34,20.51,15.81,1.88,45.9,1.28,0.94,6.26,0.34,2.28,21.37,126.67,51.03,1.2,0.94,0.26,1.45,0.77,24.96,3.42
Rhian Brewster,ENG,"FW,MF",0,0,1,1,2020-2021,Sheffield Utd,20,12,1128,12.5,0.14,0.13,0.27,27.36,0.32,2.16,11.2,14.24,2.4,27.36,1.2,0.64,4.26,0.56,3.74,14.08,64.08,24.48,0.88,0.88,0.32,1.6,1.44,18.0,3.84
Nathan Broadhead,WAL,FW,0,0,0,1,2020-2021,Everton,22,0,3,0.0,0.0,0.0,0.0,inf,,inf,inf,,,inf,,,,,,,,,,,,,,inf,
Josh Brownhill,ENG,MF,0,0,1,0,2020-2021,Burnley,24,32,2813,31.3,0.06,0.02,0.08,48.12,2.2,8.37,26.68,13.51,1.95,48.12,0.67,0.48,2.28,0.22,1.06,21.79,85.97,35.94,0.7,1.05,0.13,1.12,0.48,26.17,2.2
Joe Bryan,ENG,"DF,MF",0,1,1,0,2020-2021,Fulham,26,7,669,7.4,0.07,0.04,0.12,67.57,2.7,20.27,26.35,21.49,0.95,67.57,1.89,1.89,13.51,0.0,0.0,34.86,172.03,97.3,1.76,1.89,0.14,1.76,0.41,39.05,4.46
Kean Bryan,ENG,DF,0,1,0,0,2020-2021,Sheffield Utd,23,12,1004,11.2,0.08,0.05,0.14,53.57,5.36,24.29,24.82,5.0,0.62,53.57,0.45,0.27,5.36,0.18,3.57,26.16,116.07,60.89,0.62,0.54,0.0,0.89,0.09,28.75,1.61
Oliver Burke,SCO,FW,0,0,0,1,2020-2021,Sheffield Utd,23,14,1269,14.1,0.15,0.16,0.31,30.57,0.28,2.34,12.06,16.45,4.4,30.57,2.13,1.13,3.78,0.99,3.31,16.95,112.2,43.48,2.13,1.42,1.49,3.33,1.99,21.77,7.66
Dan Burn,ENG,DF,0,1,0,0,2020-2021,Brighton,28,23,2061,22.9,0.07,0.04,0.1,67.64,4.76,20.7,33.01,14.5,1.75,67.64,0.87,0.52,2.62,0.35,1.75,32.71,168.21,91.62,1.48,0.96,0.04,1.22,0.39,40.79,3.19
Jack Butland,ENG,GK,1,0,0,0,2020-2021,Crystal Palace,27,1,90,1.0,0.0,0.0,0.0,24.0,17.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,,0.0,,11.0,72.0,58.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
David Button,ENG,GK,1,0,0,0,2020-2021,West Brom,31,1,90,1.0,0.0,0.0,0.0,37.0,31.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,,0.0,,19.0,103.0,54.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
Oskar Buur,DEN,DF,0,1,0,0,2020-2021,Wolves,22,0,22,0.2,0.0,0.0,0.0,90.0,5.0,35.0,55.0,0.0,0.0,90.0,0.0,0.0,,0.0,,40.0,170.0,105.0,5.0,0.0,0.0,0.0,5.0,65.0,0.0
Willy Caballero,ARG,GK,1,0,0,0,2020-2021,Chelsea,38,1,90,1.0,0.0,0.0,0.0,26.0,19.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,,0.0,,13.0,46.0,34.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Gary Cahill,ENG,DF,0,1,0,0,2020-2021,Crystal Palace,34,20,1800,20.0,0.04,0.03,0.07,46.9,7.25,28.2,16.7,2.05,1.35,46.9,0.05,0.05,5.0,0.0,0.0,22.45,110.35,49.85,0.15,0.0,0.0,0.35,0.05,26.45,0.0
Tom Cairney,SCO,MF,0,0,1,0,2020-2021,Fulham,29,9,759,8.4,0.06,0.13,0.19,81.79,0.95,10.24,43.93,28.33,1.67,81.79,2.02,1.9,11.2,0.12,0.7,55.6,269.52,123.1,2.62,1.79,0.48,1.79,1.31,67.5,2.98
Dominic Calvert-Lewin,ENG,FW,0,0,0,1,2020-2021,Everton,23,32,2871,31.9,0.51,0.06,0.57,32.73,1.38,2.88,14.17,15.92,4.51,32.73,1.54,0.69,1.41,0.85,1.73,16.61,92.32,29.87,1.13,0.72,0.5,3.2,0.91,25.99,5.02
João Cancelo,POR,"DF,MF",0,1,1,0,2020-2021,Manchester City,26,27,2299,25.5,0.06,0.18,0.24,94.94,2.59,18.2,47.02,30.59,2.67,94.94,3.18,1.84,2.27,1.33,1.65,57.73,268.55,135.45,3.14,2.9,0.94,1.41,0.82,66.51,5.88
Andy Carroll,ENG,FW,0,0,0,1,2020-2021,Newcastle Utd,31,4,392,4.4,0.19,0.02,0.21,46.36,2.95,4.32,24.55,17.5,4.55,46.36,0.91,0.45,11.36,0.45,11.36,18.64,50.23,13.64,0.45,0.23,0.45,4.09,0.68,32.05,4.09
