Player,Nation,Pos,is_gk,is_df,is_mf,is_fw,Season,Squad,Age,Starts,Min,90s,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
William Osula,DEN,FW,0,0,0,1,2023-2024,Sheffield Utd,19,9,786,8.7,0.19,0.01,0.2,22.99,1.03,2.76,8.97,11.95,3.22,22.99,1.95,0.34,2.02,1.38,8.11,12.41,69.66,25.75,0.8,0.92,0.34,3.68,1.72,16.09,4.71
Dango Ouattara,BFA,"FW,DF",0,1,0,1,2023-2024,Bournemouth,21,12,1229,13.7,0.19,0.11,0.3,57.15,2.7,15.33,19.93,23.14,5.04,57.15,3.43,1.53,3.26,1.46,3.11,26.64,189.56,102.85,3.43,1.75,1.31,1.68,0.88,29.56,6.57
David Ozoh,ENG,"MF,DF",0,1,1,0,2023-2024,Crystal Palace,18,0,156,1.7,0.0,0.0,0.0,42.94,0.59,11.18,25.88,6.47,0.0,42.94,1.76,0.59,19.59,1.18,39.24,21.76,94.71,22.94,1.18,1.18,0.0,1.18,2.35,24.71,1.76
João Palhinha,POR,MF,0,0,1,0,2023-2024,Fulham,28,31,2699,30.0,0.11,0.03,0.14,58.67,4.0,18.97,32.23,8.1,1.37,58.67,0.73,0.37,1.67,0.3,1.36,26.73,94.53,35.13,0.27,0.4,0.0,0.97,0.87,33.83,0.47
Cole Palmer,ENG,"FW,MF",0,0,1,1,2023-2024,Chelsea,21,29,2607,29.0,0.63,0.38,1.01,60.48,0.76,6.31,25.59,29.38,4.34,60.17,3.59,1.79,1.72,1.59,1.52,39.59,249.52,120.41,4.03,2.28,1.59,1.97,1.52,46.97,6.72
Cole Palmer,ENG,MF,0,0,1,0,2023-2024,Manchester City,21,0,11,0.1,0.0,0.0,0.0,60.0,0.0,0.0,40.0,20.0,0.0,60.0,0.0,0.0,,0.0,,60.0,350.0,40.0,0.0,0.0,0.0,10.0,0.0,60.0,0.0
Emerson Palmieri,ITA,DF,0,1,0,0,2023-2024,West Ham,28,35,3137,34.9,0.04,0.07,0.11,62.12,4.81,19.46,28.31,14.93,1.12,62.12,1.83,0.69,1.07,0.92,1.43,30.29,157.36,79.94,1.69,1.35,0.26,1.03,0.49,35.59,3.55
Lucas Paquetá,BRA,"FW,MF",0,0,1,1,2023-2024,West Ham,25,31,2622,29.1,0.18,0.18,0.37,63.4,1.44,10.96,34.98,18.32,2.16,63.33,2.65,1.41,1.83,1.0,1.3,37.9,154.26,60.86,1.17,1.37,0.41,2.47,2.78,46.39,3.99
Ben Parkinson,ENG,FW,0,0,0,1,2023-2024,Newcastle Utd,18,0,25,0.3,0.0,0.0,0.0,20.0,6.67,6.67,3.33,10.0,0.0,20.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0
Thomas Partey,GHA,"MF,DF",0,1,1,0,2023-2024,Arsenal,30,9,788,8.8,0.05,0.03,0.08,80.34,2.61,15.68,48.07,17.5,0.68,80.34,1.48,1.02,7.86,0.23,1.75,51.48,253.07,128.3,1.7,2.05,0.11,0.91,0.91,60.0,1.14
